team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
Nashville Predators,"Perkins, SD",Perkins, SD,SD,South Dakota,46,County,Perkins County,"Perkins County, South Dakota",Perkins County46,40111
Nashville Predators,"Cook, GA",Cook, GA,GA,Georgia,13,County,Cook County,"Cook County, Georgia",Cook County13,19025
Nashville Predators,"White, GA",White, GA,GA,Georgia,13,County,White County,"White County, Georgia",White County13,48249
Nashville Predators,"Union, KY",Union, KY,KY,Kentucky,21,County,Union County,"Union County, Kentucky",Union County21,46007
Nashville Predators,"Lincoln, MS",Lincoln, MS,MS,Mississippi,28,County,Lincoln County,"Lincoln County, Mississippi",Lincoln County28,48159
Nashville Predators,"Franklin, AL",Franklin, AL,AL,Alabama,01,County,Franklin County,"Franklin County, Alabama",Franklin County01,19025
Nashville Predators,"George, MS",George, MS,MS,Mississippi,28,County,George County,"George County, Mississippi",George County28,42031
Nashville Predators,"Clay, NC",Clay, NC,NC,North Carolina,37,County,Clay County,"Clay County, North Carolina",Clay County37,19025
Nashville Predators,"Henry, KY",Henry, KY,KY,Kentucky,21,County,Henry County,"Henry County, Kentucky",Henry County21,26021
Nashville Predators,"Hart, KY",Hart, KY,KY,Kentucky,21,County,Hart County,"Hart County, Kentucky",Hart County21,26021
Nashville Predators,"Marion, KY",Marion, KY,KY,Kentucky,21,County,Marion County,"Marion County, Kentucky",Marion County21,12069
Nashville Predators,"Dallas, AL",Dallas, AL,AL,Alabama,01,County,Dallas County,"Dallas County, Alabama",Dallas County01,19025
Nashville Predators,"Carter, KY",Carter, KY,KY,Kentucky,21,County,Carter County,"Carter County, Kentucky",Carter County21,19025
Nashville Predators,"Holmes, FL",Holmes, FL,FL,Florida,12,County,Holmes County,"Holmes County, Florida",Holmes County12,26021
Nashville Predators,"Toombs, GA",Toombs, GA,GA,Georgia,13,County,Toombs County,"Toombs County, Georgia",Toombs County13,46007
Nashville Predators,"Butler, AL",Butler, AL,AL,Alabama,01,County,Butler County,"Butler County, Alabama",Butler County01,#N/A
Nashville Predators,"Boyle, KY",Boyle, KY,KY,Kentucky,21,County,Boyle County,"Boyle County, Kentucky",Boyle County21,#N/A
Nashville Predators,"Cumberland, KY",Cumberland, KY,KY,Kentucky,21,County,Cumberland County,"Cumberland County, Kentucky",Cumberland County21,19025
Nashville Predators,"Marshall, MS",Marshall, MS,MS,Mississippi,28,County,Marshall County,"Marshall County, Mississippi",Marshall County28,12069
Nashville Predators,"Harrison, KY",Harrison, KY,KY,Kentucky,21,County,Harrison County,"Harrison County, Kentucky",Harrison County21,26021
Nashville Predators,"Monroe, AR",Monroe, AR,AR,Arkansas,05,County,Monroe County,"Monroe County, Arkansas",Monroe County05,12069
Nashville Predators,"Burke, GA",Burke, GA,GA,Georgia,13,County,Burke County,"Burke County, Georgia",Burke County13,#N/A
Nashville Predators,"Winn, LA",Winn, LA,LA,Louisiana,22,Parish,Winn Parish,"Winn Parish, Louisiana",Winn Parish22,48249
Nashville Predators,"Hancock, KY",Hancock, KY,KY,Kentucky,21,County,Hancock County,"Hancock County, Kentucky",Hancock County21,27025
Nashville Predators,"Leflore, MS",Leflore, MS,MS,Mississippi,28,County,Leflore County,"Leflore County, Mississippi",Leflore County28,48159
Nashville Predators,"Tishomingo, MS",Tishomingo, MS,MS,Mississippi,28,County,Tishomingo County,"Tishomingo County, Mississippi",Tishomingo County28,46007
Nashville Predators,"Lawrence, AR",Lawrence, AR,AR,Arkansas,05,County,Lawrence County,"Lawrence County, Arkansas",Lawrence County05,48159
Nashville Predators,"Knox, KY",Knox, KY,KY,Kentucky,21,County,Knox County,"Knox County, Kentucky",Knox County21,48159
Nashville Predators,"Bath, KY",Bath, KY,KY,Kentucky,21,County,Bath County,"Bath County, Kentucky",Bath County21,#N/A
